activityIId,uv,orderCount,maxPrice
108806,1275,24,151800
108849,12635,314,149800
108860,2458,125,166800
108868,5075,111,579900
108869,1611,42,720000
108870,440,12,248800
108873,2821,75,269800
108875,376,5,60800
108878,4241,170,398000
108886,2579,117,1848000
108887,36557,833,249800
108888,1989,98,837000
108889,2117,100,295000
108891,5097,199,295000
108893,4120,125,219800
108895,4982,80,359800
108896,973,39,3618000
108897,2679,46,837000
108898,5864,148,2449000
108899,7947,179,980000
108900,487,17,300000
108901,2605,73,357600
108902,2042,79,320000
108906,3309,159,188800
108907,4713,170,788000
108908,7273,332,579900
108912,9078,357,168800
108913,6396,243,248800
108915,2413,28,174800
108917,3638,92,352000
108918,10296,260,398000
108921,21893,492,2153000
108922,1526,30,837000
108923,8857,165,359800
108924,3704,97,113800
108925,1646,18,88800
108927,2908,89,398000
108928,2058,53,1020000
108929,5250,158,113800
108931,11213,609,113800
108932,2537,69,1450000
108933,3417,138,489000
108934,7076,185,280000
108935,25631,835,113800
108936,2477,60,579900
108937,1981,82,239000
108939,7965,304,545000
108942,9869,341,429600
108943,506,11,788000
108944,1022,24,838000
108945,1552,52,1988000
108946,5193,115,398000
108947,13652,627,545000
108948,4378,104,162300
108950,13930,603,545000
108952,5269,204,398000
108955,5194,229,545000
108957,2365,55,720000
108958,12690,226,199800
108959,5224,202,545000
108960,12700,341,219800
108963,13669,478,1020000
108964,1118,30,2153000
108965,2499,59,218800
108967,2414,73,295000
108969,4788,150,308000
108970,1065,33,2153000
108971,3822,122,1848000
108972,1556,67,1020000
108973,1868,14,300000
108975,5620,220,837000
108977,4630,167,295000
108978,6839,216,113800
108979,14731,677,870000
108981,6285,297,579900
108982,5496,210,168800
108983,5885,202,545000
108984,6478,231,239000
108985,11487,449,2449000
108986,2699,46,239000
108987,2498,87,489000
108988,19004,465,788000
108989,11335,431,359800
108990,8124,167,199800
108991,7207,280,2449000
108993,2898,58,1020000
108994,5789,140,386000
108995,3785,74,320000
108997,1851,37,239000
108998,12707,408,269800
108999,1776,57,489000
109000,2066,45,1450000
109001,4767,125,2153000
109002,13560,181,4380000
109003,7973,88,134900
109004,3583,92,320000
109005,2770,64,269800
109006,3957,161,166800
109007,1384,42,388800
109008,1706,63,219800